Cargando snapshot...
Analizando libros...

============================================================================================================================================
TABLA FINAL DE CRUZAMIENTO
============================================================================================================================================
ID | Titulo | Autor | Content | Pages | PDF | Patol | Dup | Sup | Clasificacion
  26 | Madame Bovary                            | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  27 | El Conde de Montecristo                  | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  28 | Las Mil y Una Noches                     | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  29 | 1984                                     | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  30 | Un Mundo Feliz                           | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  31 | Fahrenheit 451                           | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  32 | Dune                                     | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  33 | Fundaci┬¥n                                | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  34 | Cr┬¥nicas Marcianas                       | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  35 | Neuromante                               | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  36 | El Juego de Ender                        | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  37 | 2001: Una Odisea del Espacio             | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  38 | Solaris                                  | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  39 | La Guerra de los Mundos                  | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  40 | El Marciano                              | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  41 | It                                       | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  42 | Dr├ƒcula                                  | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  43 | Frankenstein                             | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  44 | El Resplandor                            | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  45 | La Llamada de Cthulhu                    | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  46 | El Exorcista                             | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  47 | Cementerio de Animales                   | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  48 | El Fantasma de la ├ïpera                  | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  49 | La Maldici┬¥n de Hill House               | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  50 | Misery                                   | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  51 | Veinte Poemas de Amor y una Canci┬¥n Dese | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  52 | Canto General                            | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  53 | Poeta en Nueva York                      | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  54 | Romancero Gitano                         | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  55 | Altazor                                  | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  56 | Trilce                                   | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  57 | Los Heraldos Negros                      | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  58 | Piedra de Sol                            | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  59 | Hojas de Hierba                          | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  60 | Cien Sonetos de Amor                     | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  61 | Sapiens: De Animales a Dioses            | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  62 | El Arte de la Guerra                     | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  63 | Breve Historia del Mundo                 | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  64 | Los Conquistadores                       | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  65 | El Diario de Ana Frank                   | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  66 | Memorias de Adriano                      | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  67 | Historia de Dos Ciudades                 | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  68 | 21 Lecciones para el Siglo XXI           | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  69 | Las Venas Abiertas de Am├Ürica Latina     | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  70 | El Laberinto de la Soledad               | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  71 | El Mundo de Sof├Øa                        | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  72 | As├Ø Habl┬¥ Zaratustra                     | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  73 | La Rep┬Àblica                             | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  74 | Meditaciones                             | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  75 | El Banquete                              | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  76 | El Ser y la Nada                         | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  77 | El Arte de Amar                          | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  78 | Ôòötica para Amador                        | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  79 | Elogio de la Locura                      | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  80 | El Pr├Øncipe                              | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  81 | El Alquimista                            | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  82 | Los 7 H├ƒbitos de la Gente Altamente Efec | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  83 | El Poder del Ahora                       | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  84 | Padre Rico, Padre Pobre                  | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  85 | H├ƒbitos At┬¥micos                         | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  86 | El Monje que Vendi┬¥ su Ferrari           | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  87 | Piense y H├ƒgase Rico                     | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  88 | El Sutil Arte de que No te Importe Nada  | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  89 | Los Cuatro Acuerdos                      | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  90 | Inteligencia Emocional                   | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  91 | Romeo y Julieta                          | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  92 | Cumbres Borrascosas                      | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  93 | Jane Eyre                                | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  94 | El Fantasma de Canterville               | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  95 | Persuasi┬¥n                               | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  96 | Las Batallas en el Desierto              | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  97 | Doctor Zhivago                           | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  98 | La Dama de las Camelias                  | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
  99 | El Amor en los Tiempos de la Peste       | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 100 | Coraz┬¥n                                  | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 101 | La Isla del Tesoro                       | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 102 | Veinte Mil Leguas de Viaje Submarino     | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 103 | El Se┬▒or de los Anillos                  | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 104 | El Hobbit                                | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 105 | Las Aventuras de Tom Sawyer              | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 106 | Robinson Crusoe                          | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 107 | La Vuelta al Mundo en 80 D├Øas            | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 108 | Moby Dick                                | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 109 | Los Tres Mosqueteros                     | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 110 | Viaje al Centro de la Tierra             | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 111 | Cosmos                                   | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 112 | Breve Historia del Tiempo                | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 113 | El Gen Ego├Østa                           | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 114 | El Universo en una C├ƒscara de Nuez       | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 115 | Astrof├Øsica para Gente con Prisa         | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 116 | El Origen de las Especies                | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 117 | La Estructura de las Revoluciones Cient├Ø | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 118 | La Doble H├Ülice                          | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 119 | Seis Piezas F├ƒciles                      | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 120 | Un Punto Azul P├ƒlido                     | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 121 | Charlie y la F├ƒbrica de Chocolate        | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 122 | Matilda                                  | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 123 | Las Cr┬¥nicas de Narnia: El Le┬¥n, la Bruj | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 124 | Harry Potter y la Piedra Filosofal       | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 125 | El Diario de Greg                        | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 126 | James y el Melocot┬¥n Gigante             | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 127 | Donde Viven los Monstruos                | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 128 | El Principito                            | Antoine de Saint-Exu |      N/A |   N/A |  NO |    SI |  SI |   18 | REVISAR             
 129 | Alicia en el Pa├Øs de las Maravillas      | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 130 | Cuentos de la Selva                      | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | REVISAR             
 131 | S/D                                      | S/D                  |      N/A |   N/A |  NO |    NO |  NO |  N/A | REVISAR             
 132 | S/D                                      | S/D                  |      N/A |   N/A |  NO |    NO |  NO |  N/A | REVISAR             
 133 | Crimen y castigo                         | Fedor Dostoiewski    |      N/A |   N/A |  NO |    NO |  SI |  133 | REVISAR             
 134 | Los heraldos negros                      | C├Üsar Vallejo        |      N/A |   N/A |  NO |    NO |  SI |  134 | REVISAR             
 135 | Sangre de Campe┬¥n: Sin Cadenas           | Carlos Cuauht├Ümoc S├ƒ |      N/A |   N/A |  NO |    NO |  SI |  135 | REVISAR             
 136 | Ciro Alegria   El Mundo Es Ancho Y Ajeno | Autor Desconocido    |      N/A |   N/A |  NO |    NO |  SI |  136 | REVISAR             
 137 | CrimenCastigo.PDF                        | Unknown              |      N/A |   N/A |  NO |    NO |  SI |  137 | REVISAR             
 138 | Microsoft Word - Dante Alighieri - Divin | marbeto              |      N/A |   N/A |  NO |    NO |  SI |  138 | REVISAR             
 139 | El Caballero Carmelo                     | Abraham Valdelomar   |      N/A |   N/A |  NO |    NO |  SI |  139 | REVISAR             
 140 | EL MUNDO ES ANCHO Y AJENO                | gff                  |      N/A |   N/A |  NO |    NO |  SI |  140 | REVISAR             
 141 | edipo.PDF                                | Unknown              |      N/A |   N/A |  NO |    NO |  SI |  141 | REVISAR             
 142 | Romeo y Julieta                          | Shakespeare, William |      N/A |   N/A |  NO |    NO |  SI |  142 | REVISAR             
 143 | ├ÉA CATITA                                | Sim┬¥n Chara Guti├Ürre |      N/A |   N/A |  NO |    NO |  SI |  143 | REVISAR             
 144 | La Odisea                                | Homero               |      N/A |   N/A |  NO |    NO |  SI |  144 | REVISAR             
 145 | Memorias de subsuelo                     | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | SIN_CONTENIDO_RECUPE
 146 | S/D                                      | S/D                  |      N/A |   N/A |  NO |    NO |  NO |  N/A | REVISAR             
 147 | Los heraldos negros                      | C├Üsar Vallejo        |      N/A |   N/A |  NO |    NO |  SI |  134 | REVISAR             
 148 | Sangre de Campe┬¥n: Sin Cadenas           | Carlos Cuauht├Ümoc S├ƒ |      N/A |   N/A |  NO |    NO |  SI |  135 | REVISAR             
 149 | Ciro Alegria   El Mundo Es Ancho Y Ajeno | Autor Desconocido    |      N/A |   N/A |  NO |    NO |  SI |  136 | REVISAR             
 150 | CrimenCastigo.PDF                        | Unknown              |      N/A |   N/A |  NO |    NO |  SI |  137 | REVISAR             
 151 | Microsoft Word - Dante Alighieri - Divin | marbeto              |      N/A |   N/A |  NO |    NO |  SI |  138 | REVISAR             
 152 | El Caballero Carmelo                     | Abraham Valdelomar   |      N/A |   N/A |  NO |    NO |  SI |  139 | REVISAR             
 153 | EL MUNDO ES ANCHO Y AJENO                | gff                  |      N/A |   N/A |  NO |    NO |  SI |  140 | REVISAR             
 154 | edipo.PDF                                | Unknown              |      N/A |   N/A |  NO |    NO |  SI |  141 | REVISAR             
 155 | Romeo y Julieta                          | Shakespeare, William |      N/A |   N/A |  NO |    NO |  SI |  142 | REVISAR             
 156 | ├ÉA CATITA                                | Sim┬¥n Chara Guti├Ürre |      N/A |   N/A |  NO |    NO |  SI |  143 | REVISAR             
 157 | La Odisea                                | Homero               |      N/A |   N/A |  NO |    NO |  SI |  144 | REVISAR             
 158 | Noches blancas                           | S/D                  |      N/A |   N/A |  NO |    SI |  NO |  N/A | SIN_CONTENIDO_RECUPE
 159 | Crimen y castigo                         | Fedor Dostoiewski    |      N/A |   N/A |  NO |    NO |  SI |  133 | REVISAR             
 160 | Los heraldos negros                      | C├Üsar Vallejo        |      N/A |   N/A |  NO |    NO |  SI |  134 | REVISAR             
 161 | Sangre de Campe┬¥n: Sin Cadenas           | Carlos Cuauht├Ümoc S├ƒ |      N/A |   N/A |  NO |    NO |  SI |  135 | REVISAR             
 162 | Ciro Alegria   El Mundo Es Ancho Y Ajeno | Autor Desconocido    |      N/A |   N/A |  NO |    NO |  SI |  136 | REVISAR             
 163 | CrimenCastigo.PDF                        | Unknown              |      N/A |   N/A |  NO |    NO |  SI |  137 | REVISAR             

============================================================================================================================================
RESUMEN EJECUTIVO
============================================================================================================================================

Total de libros auditados: 163

--- CLASIFICACION FINAL ---
  REVISAR: 161 (98.8%)
  SIN_CONTENIDO_RECUPERABLE: 2 (1.2%)

--- DUPLICADOS ---
  Grupos de duplicados: 13
  Total libros en grupos duplicados: 38

--- PDFs ---
  PDFs existentes: 0
  PDFs perdidos (registrados): 0
  Sin PDF registrado: 163

--- CONTENIDO PATOL├ôGICO ---
  Libros con contenido patol├│gico: 128
  Libros con placeholder: 0
  Libros fabricados (seed range 5-130): 126

--- BOOK_PAGES ---
  Libros con book_pages: 0
  Libros sin book_pages: 163

--- AN├üLISIS POR RANGOS ---
  Rango seeds (5-130): 126 libros
    - Fabricados (p├írrafo repetido 200x): 126
  Placeholders (133-170): 0
  Fuera de ambos rangos: 37

============================================================================================================================================
JSONL POR LIBRO
============================================================================================================================================
{"id": 1, "title": null, "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Sin datos suficientes en snapshot"}
{"id": 2, "title": null, "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Sin datos suficientes en snapshot"}
{"id": 3, "title": null, "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Sin datos suficientes en snapshot"}
{"id": 4, "title": null, "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": false, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Sin datos suficientes en snapshot"}
{"id": 5, "title": "Cien A┬▒os de Soledad", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 6, "title": "Rayuela", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 7, "title": "Pedro P├ƒramo", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 8, "title": "La Casa de los Esp├Øritus", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 9, "title": "El T┬Ànel", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 10, "title": "Ficciones", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 11, "title": "Como Agua para Chocolate", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 12, "title": "El Amor en los Tiempos del C┬¥lera", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 13, "title": "La Sombra del Viento", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 14, "title": "Aura", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 15, "title": "Los Detectives Salvajes", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 16, "title": "Cr┬¥nica de una Muerte Anunciada", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 17, "title": "Don Quijote de la Mancha", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 18, "title": "El Principito", "author": "Antoine de Saint-Exup├Üry", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [18, 128], "candidato_superior": 18, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 19, "title": "Orgullo y Prejuicio", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 20, "title": "Crimen y Castigo", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 21, "title": "Los Miserables", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 22, "title": "La Odisea", "author": "Homero", "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [22, 144, 157, 170], "candidato_superior": 144, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 23, "title": "Anna Karenina", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 24, "title": "Hamlet", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
