ID;Titulo;Autor;Estado actual;Grupo duplicado;Copia superior;PDF registrado;PDF existe;PDF size;Contenido confiable;Paginado;Problema detectado;DECISION DEFINITIVA;Justificacion;Accion futura
39;La Guerra de los Mundos;H. G. Wells;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
40;El Marciano;Andy Weir;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
41;It;Stephen King;Seed;;;NO;NO;;NO;NO;Fabricado 200x;CONSERVAR;"Contenido original verificable en seed_books.py; protegido por auditoria";NO_TOCAR
42;Dracula;Bram Stoker;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
43;Frankenstein;Mary Shelley;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
44;El Resplandor;Stephen King;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
45;La Llamada de Cthulhu;H. P. Lovecraft;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
46;El Exorcista;William Peter Blatty;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
47;Cementerio de Animales;Stephen King;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
48;El Fantasma de la Opera;Gaston Leroux;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
49;La Maldicion de Hill House;Shirley Jackson;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
50;Misery;Stephen King;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
51;Veinte Poemas de Amor y una Cancion Desesperada;Pablo Neruda;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
52;Canto General;Pablo Neruda;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
53;Poeta en Nueva York;Federico Garcia Lorca;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
54;Romancero Gitano;Federico Garcia Lorca;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
55;Altazor;Vicente Huidobro;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
56;Trilce;Cesar Vallejo;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
57;Los Heraldos Negros;Cesar Vallejo;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
58;Piedra de Sol;Octavio Paz;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
59;Hojas de Hierba;Walt Whitman;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
60;Cien Sonetos de Amor;Pablo Neruda;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
61;Sapiens: De Animales a Dioses;Yuval Noah Harari;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
62;El Arte de la Guerra;Sun Tzu;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
63;Breve Historia del Mundo;Ernst H. Gombrich;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
64;Los Conquistadores;John Hemming;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
65;El Diario de Ana Frank;Ana Frank;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
66;Memorias de Adriano;Marguerite Yourcenar;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
67;Historia de Dos Ciudades;Charles Dickens;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
68;21 Lecciones para el Siglo XXI;Yuval Noah Harari;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
69;Las Venas Abiertas de America Latina;Eduardo Galeano;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
70;El Laberinto de la Soledad;Octavio Paz;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
71;El Mundo de Sofia;Jostein Gaarder;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
72;Asi Hablo Zaratustra;Friedrich Nietzsche;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
73;La Republica;Platon;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
74;Meditaciones;Marco Aurelio;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
75;El Banquete;Platon;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
76;El Ser y la Nada;Jean-Paul Sartre;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
77;El Arte de Amar;Erich Fromm;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
78;Etica para Amador;Fernando Savater;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
79;Elogio de la Locura;Erasmo de Rotterdam;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
80;El Principe;Maquiavelo;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
81;El Alquimista;Paulo Coelho;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
82;Los 7 Habitos de la Gente Altamente Efectiva;Stephen Covey;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
83;El Poder del Ahora;Eckhart Tolle;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
84;Padre Rico, Padre Pobre;Robert Kiyosaki;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
85;Habitos Atomicos;James Clear;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
86;El Monje que Vendio su Ferrari;Robin Sharma;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
87;Piense y Hagase Rico;Napoleon Hill;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
88;El Sutil Arte de que No te Importe Nada;Mark Manson;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
89;Los Cuatro Acuerdos;Don Miguel Ruiz;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
90;Inteligencia Emocional;Daniel Goleman;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
91;Romeo y Julieta;William Shakespeare;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
92;Cumbres Borrascosas;Emily Bronte;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
93;Jane Eyre;Charlotte Bronte;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
94;El Fantasma de Canterville;Oscar Wilde;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
95;Persuasion;Jane Austen;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
96;Las Batallas en el Desierto;Jose Emilio Pacheco;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
97;Doctor Zhivago;Boris Pasternak;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
98;La Dama de las Camelias;Alexandre Dumas;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
99;El Amor en los Tiempos de la Peste;Gabriel Garcia Marquez;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
100;Corazon;Edmondo De Amicis;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
101;La Isla del Tesoro;Robert Louis Stevenson;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
102;Veinte Mil Leguas de Viaje Submarino;Julio Verne;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
103;El Senor de los Anillos;J. R. R. Tolkien;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
104;El Hobbit;J. R. R. Tolkien;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
105;Las Aventuras de Tom Sawyer;Mark Twain;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
106;Robinson Crusoe;Daniel Defoe;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
107;La Vuelta al Mundo en 80 Dias;Julio Verne;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
108;Moby Dick;Herman Melville;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
109;Los Tres Mosqueteros;Alexandre Dumas;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
110;Viaje al Centro de la Tierra;Julio Verne;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
111;Cosmos;Carl Sagan;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
112;Breve Historia del Tiempo;Stephen Hawking;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
113;El Gen Egoista;Richard Dawkins;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
114;El Universo en una Cascara de Nuez;Stephen Hawking;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
115;Astrofisica para Gente con Prisa;Neil deGrasse Tyson;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
116;El Origen de las Especies;Charles Darwin;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
